9A30 FE00; FSung-Academic; FS0FBFF2
9A30 FE01; FSung-Academic; FS0FC00D
9A30 FE02; FSung-Academic; FS0FC015
9A30 FE03; FSung-Academic; FS0FC018
9A30 FE04; FSung-Academic; FS0FEC78
9A30 FE05; FSung-Academic; FS10265E
9A30 FE06; FSung-Academic; FS10265F
9A30 FE07; FSung-Academic; FS102660
9A30 FE08; FSung-Academic; FS102661
