52C9 FE00; FSung-Academic; FS0F295D
52C9 FE01; FSung-Academic; FS0F296C
52C9 FE02; FSung-Academic; FS0F296D
52C9 FE03; FSung-Academic; FS0F54F4
52C9 FE04; FSung-Academic; FS0F54F5
52C9 FE05; FSung-Academic; FS0F54F6
52C9 FE06; FSung-Academic; FS0F54F7
52C9 FE07; FSung-Academic; FS0FA79C
52C9 FE08; FSung-Academic; FS103977
