69F1 FE00; FSung-Academic; FS102DE0
69F1 FE01; FSung-Academic; FS102DE1
69F1 FE02; FSung-Academic; FS102DE2
69F1 FE03; FSung-Academic; FS102DE3
69F1 FE04; FSung-Academic; FS102DE4
69F1 FE05; FSung-Academic; FS102DE5
69F1 FE06; FSung-Academic; FS102DE6
69F1 FE07; FSung-Academic; FS102DE7
69F1 FE08; FSung-Academic; FS102DE8
