5730 FE00; FSung-Academic; FS0F064E # Term: FS0F064E
5730 FE01; FSung-Academic; FS0F59ED # Term: FS0F59ED
5730 FE02; FSung-Academic; FS0F59EE # Term: FS0F59EE
5730 FE03; FSung-Academic; FS0F59EF # Term: FS0F59EF
5730 FE04; FSung-Academic; FS0F59F1 # Term: FS0F59F1
5730 FE05; FSung-Academic; FS0F59F2 # Term: FS0F59F2
5730 FE06; FSung-Academic; FS0F59F3 # Term: FS0F59F3
5730 FE07; FSung-Academic; FS0F59F9 # Term: FS0F59F9
5730 FE08; FSung-Academic; FS0FBA96 # Term: FS0FBA96
