5F99 FE00; FSung-Academic; FS0F3E52
5F99 FE01; FSung-Academic; FS0F3E56
5F99 FE02; FSung-Academic; FS0F3E65
5F99 FE03; FSung-Academic; FS0F3E90
5F99 FE04; FSung-Academic; FS0F3E91
5F99 FE05; FSung-Academic; FS0F3EB8
5F99 FE06; FSung-Academic; FS0F7CAE
5F99 FE07; FSung-Academic; FS0F7DD2
5F99 FE08; FSung-Academic; FS0FF285
5F99 FE09; FSung-Academic; FS0FFDB0
5F99 FE0A; FSung-Academic; FS0FFDB1
5F99 FE0B; FSung-Academic; FS0FFDB2
5F99 FE0C; FSung-Academic; FS0FFDB3
