65C1 FE00; FSung-Academic; FS0FC156
65C1 FE01; FSung-Academic; FS0FC15B
65C1 FE02; FSung-Academic; FS0FC15E
65C1 FE03; FSung-Academic; FS0FC160
65C1 FE04; FSung-Academic; FS10032E
65C1 FE05; FSung-Academic; FS10032F
65C1 FE06; FSung-Academic; FS100330
65C1 FE07; FSung-Academic; FS100331
65C1 FE08; FSung-Academic; FS100332
65C1 FE09; FSung-Academic; FS100333
65C1 FE0A; FSung-Academic; FS100334
