6642 FE00; FSung-Academic; FS0F06DF
6642 FE01; FSung-Academic; FS0F1003
6642 FE02; FSung-Academic; FS0F5261
6642 FE03; FSung-Academic; FS0FB818
6642 FE04; FSung-Academic; FS0FC920
6642 FE05; FSung-Academic; FS0FC969
6642 FE06; FSung-Academic; FS1003BA
6642 FE07; FSung-Academic; FS1003BB
6642 FE08; FSung-Academic; FS1003BC
6642 FE09; FSung-Academic; FS1003BD
