8981 FE00; FSung-Academic; FS0F49CF
8981 FE01; FSung-Academic; FS0F4FE5
8981 FE02; FSung-Academic; FS0FD158
8981 FE03; FSung-Academic; FS101B9C
8981 FE04; FSung-Academic; FS101B9D
8981 FE05; FSung-Academic; FS101B9E
8981 FE06; FSung-Academic; FS101B9F
8981 FE07; FSung-Academic; FS101BA0
8981 FE08; FSung-Academic; FS101BA1
