5287 FE00; FSung-Academic; FS0F18F1
5287 FE01; FSung-Academic; FS0F18F2
5287 FE02; FSung-Academic; FS0F29A0
5287 FE03; FSung-Academic; FS0F54BD
5287 FE04; FSung-Academic; FS0F54BE
5287 FE05; FSung-Academic; FS0F54BF
5287 FE06; FSung-Academic; FS0F54C0
5287 FE07; FSung-Academic; FS0F54C1
5287 FE08; FSung-Academic; FS0F54C2
5287 FE09; FSung-Academic; FS0F54C3
5287 FE0A; FSung-Academic; FS10396C
5287 FE0B; FSung-Academic; FS10396D
