654F FE00; FSung-Academic; FS0F07AD
654F FE01; FSung-Academic; FS0F594F
654F FE02; FSung-Academic; FS100269
654F FE03; FSung-Academic; FS10026A
654F FE04; FSung-Academic; FS10026B
654F FE05; FSung-Academic; FS10026C
654F FE06; FSung-Academic; FS10026D
654F FE07; FSung-Academic; FS10026E
654F FE08; FSung-Academic; FS10026F
654F FE09; FSung-Academic; FS100270
654F FE0A; FSung-Academic; FS103A23
