71D2 FE00; FSung-Academic; FS0FC1F5
71D2 FE01; FSung-Academic; FS0FC22E
71D2 FE02; FSung-Academic; FS0FC27F
71D2 FE03; FSung-Academic; FS100A4A
71D2 FE04; FSung-Academic; FS100A4B
71D2 FE05; FSung-Academic; FS100A4C
71D2 FE06; FSung-Academic; FS100A4D
71D2 FE07; FSung-Academic; FS100A4E
71D2 FE08; FSung-Academic; FS100A4F
71D2 FE09; FSung-Academic; FS100A50
71D2 FE0A; FSung-Academic; FS100A51
