6641 FE00; FSung-Academic; FS0FB928 # Term: FS0FB928
6641 FE01; FSung-Academic; FS0FB945 # Term: FS0FB945
6641 FE02; FSung-Academic; FS0FB9AB # Term: FS0FB9AB
6641 FE03; FSung-Academic; FS0FB9B0 # Term: FS0FB9B0
6641 FE04; FSung-Academic; FS102D5A # Term: FS102D5A
6641 FE05; FSung-Academic; FS102D5B # Term: FS102D5B
6641 FE06; FSung-Academic; FS102D5C # Term: FS102D5C
6641 FE07; FSung-Academic; FS102D5D # Term: FS102D5D
6641 FE08; FSung-Academic; FS102D5E # Term: FS102D5E
