5C3C FE00; FSung-Academic; FS0F0DD3
5C3C FE01; FSung-Academic; FS0F1608
5C3C FE02; FSung-Academic; FS0F4C6E
5C3C FE03; FSung-Academic; FS0F4C70
5C3C FE04; FSung-Academic; FS0F4C71
5C3C FE05; FSung-Academic; FS0F620A
5C3C FE06; FSung-Academic; FS0FAA10
5C3C FE07; FSung-Academic; FS0FFB12
5C3C FE08; FSung-Academic; FS0FFB13
