542B FE00; FSung-Academic; FS0F1E65
542B FE01; FSung-Academic; FS0F1E6A
542B FE02; FSung-Academic; FS0F1E6F
542B FE03; FSung-Academic; FS0F1E73
542B FE04; FSung-Academic; FS0F1EBB
542B FE05; FSung-Academic; FS0F1EBF
542B FE06; FSung-Academic; FS0F1EC5
542B FE07; FSung-Academic; FS0F1F07
542B FE08; FSung-Academic; FS0F563A
542B FE09; FSung-Academic; FS0F563B
542B FE0A; FSung-Academic; FS0F563C
542B FE0B; FSung-Academic; FS0F6DCE
