60A0 FE00; FSung-Academic; FS0F1AC5
60A0 FE01; FSung-Academic; FS0FC5C8
60A0 FE02; FSung-Academic; FS0FC5EA
60A0 FE03; FSung-Academic; FS0FC5EF
60A0 FE04; FSung-Academic; FS0FC615
60A0 FE05; FSung-Academic; FS0FC636
60A0 FE06; FSung-Academic; FS0FC637
60A0 FE07; FSung-Academic; FS0FFE69
60A0 FE08; FSung-Academic; FS0FFE6A
60A0 FE09; FSung-Academic; FS0FFE6B
60A0 FE0A; FSung-Academic; FS0FFE6C
60A0 FE0B; FSung-Academic; FS0FFE6E
