5B5F FE00; FSung-Academic; FS0F35CC
5B5F FE01; FSung-Academic; FS0F6AA8
5B5F FE02; FSung-Academic; FS0F6AAA
5B5F FE03; FSung-Academic; FS0F6AAC
5B5F FE04; FSung-Academic; FS0F6B28
5B5F FE05; FSung-Academic; FS0F6B29
5B5F FE06; FSung-Academic; FS0F6B2A
5B5F FE07; FSung-Academic; FS0F8FA6
5B5F FE08; FSung-Academic; FS0FCBD9
5B5F FE09; FSung-Academic; FS0FD837
