6DF1 FE00; FSung-Academic; FS0F44ED
6DF1 FE01; FSung-Academic; FS0F59D5
6DF1 FE02; FSung-Academic; FS0F6A7A
6DF1 FE03; FSung-Academic; FS0F6C97
6DF1 FE04; FSung-Academic; FS0F6C98
6DF1 FE05; FSung-Academic; FS0F6CC9
6DF1 FE06; FSung-Academic; FS0F6CCB
6DF1 FE07; FSung-Academic; FS0F6D08
6DF1 FE08; FSung-Academic; FS0F6D0A
6DF1 FE09; FSung-Academic; FS0F6D0C
6DF1 FE0A; FSung-Academic; FS100818
6DF1 FE0B; FSung-Academic; FS100819
