919C FE00; FSung-Academic; FS0F0469
919C FE01; FSung-Academic; FS0FC9D9
919C FE02; FSung-Academic; FS0FDEC8
919C FE03; FSung-Academic; FS10219D
919C FE04; FSung-Academic; FS10219E
919C FE05; FSung-Academic; FS10219F
919C FE06; FSung-Academic; FS1021A0
919C FE07; FSung-Academic; FS1021A1
919C FE08; FSung-Academic; FS1021A2
919C FE09; FSung-Academic; FS1021A3
