8469 FE00; FSung-Academic; FS0F0AB5 # Term: FS0F0AB5
8469 FE01; FSung-Academic; FS0F30B4 # Term: FS0F30B4
8469 FE02; FSung-Academic; FS0F3106 # Term: FS0F3106
8469 FE03; FSung-Academic; FS0F31E5 # Term: FS0F31E5
8469 FE04; FSung-Academic; FS101837 # Term: FS101837
8469 FE05; FSung-Academic; FS101838 # Term: FS101838
8469 FE06; FSung-Academic; FS101839 # Term: FS101839
8469 FE07; FSung-Academic; FS10183A # Term: FS10183A
8469 FE08; FSung-Academic; FS10183B # Term: FS10183B
