6406 FE00; FSung-Academic; FS0F2F4B
6406 FE01; FSung-Academic; FS0F2F6B
6406 FE02; FSung-Academic; FS0F2FA4
6406 FE03; FSung-Academic; FS0FF0D6
6406 FE04; FSung-Academic; FS0FF108
6406 FE05; FSung-Academic; FS102CCC
6406 FE06; FSung-Academic; FS102CCD
6406 FE07; FSung-Academic; FS102CCE
6406 FE08; FSung-Academic; FS102CCF
