994E FE00; FSung-Academic; FS0FEB2C
994E FE01; FSung-Academic; FS103C85
994E FE02; FSung-Academic; FS103C86
994E FE03; FSung-Academic; FS103C87
994E FE04; FSung-Academic; FS103C88
994E FE05; FSung-Academic; FS103C89
994E FE06; FSung-Academic; FS103C8A
994E FE07; FSung-Academic; FS103C8B
994E FE08; FSung-Academic; FS103C8C
994E FE09; FSung-Academic; FS103C8D
994E FE0A; FSung-Academic; FS103C8E
994E FE0B; FSung-Academic; FS103C8F
