902E FE00; FSung-Academic; FS0F4AD5 # Term: FS0F4AD5
902E FE01; FSung-Academic; FS0F4B48 # Term: FS0F4B48
902E FE02; FSung-Academic; FS0FF394 # Term: FS0FF394
902E FE03; FSung-Academic; FS0FF3A8 # Term: FS0FF3A8
902E FE04; FSung-Academic; FS10200D # Term: FS10200D
902E FE05; FSung-Academic; FS10200E # Term: FS10200E
902E FE06; FSung-Academic; FS10200F # Term: FS10200F
902E FE07; FSung-Academic; FS102010 # Term: FS102010
902E FE08; FSung-Academic; FS102011 # Term: FS102011
