8D85 FE00; FSung-Academic; FS0F2C94
8D85 FE01; FSung-Academic; FS0F2CD1
8D85 FE02; FSung-Academic; FS0F3761
8D85 FE03; FSung-Academic; FS0FF01D
8D85 FE04; FSung-Academic; FS101E58
8D85 FE05; FSung-Academic; FS101E59
8D85 FE06; FSung-Academic; FS101E5A
8D85 FE07; FSung-Academic; FS101E5B
8D85 FE08; FSung-Academic; FS101E5C
8D85 FE09; FSung-Academic; FS101E5D
8D85 FE0A; FSung-Academic; FS101E5E
8D85 FE0B; FSung-Academic; FS101E5F
