9072 FE00; FSung-Academic; FS0F4D0E
9072 FE01; FSung-Academic; FS0F6142
9072 FE02; FSung-Academic; FS0FF36A
9072 FE03; FSung-Academic; FS0FF3CD
9072 FE04; FSung-Academic; FS0FF439
9072 FE05; FSung-Academic; FS1020AF
9072 FE06; FSung-Academic; FS1020B0
9072 FE07; FSung-Academic; FS1020B1
9072 FE08; FSung-Academic; FS1020B2
9072 FE09; FSung-Academic; FS1020B3
9072 FE0A; FSung-Academic; FS1020B4
