55AC FE00; FSung-Academic; FS0F09B6
55AC FE01; FSung-Academic; FS0F369A
55AC FE02; FSung-Academic; FS0F5271
55AC FE03; FSung-Academic; FS0F5272
55AC FE04; FSung-Academic; FS0F56D9
55AC FE05; FSung-Academic; FS0F56DA
55AC FE06; FSung-Academic; FS0F56DB
55AC FE07; FSung-Academic; FS0F56DC
55AC FE08; FSung-Academic; FS0F56DD
55AC FE09; FSung-Academic; FS0F56DE
55AC FE0A; FSung-Academic; FS0FB452
55AC FE0B; FSung-Academic; FS0FEFFE
