7B49 FE00; FSung-Academic; FS0F3058
7B49 FE01; FSung-Academic; FS0F3494
7B49 FE02; FSung-Academic; FS0F3495
7B49 FE03; FSung-Academic; FS0FD688
7B49 FE04; FSung-Academic; FS101107
7B49 FE05; FSung-Academic; FS101108
7B49 FE06; FSung-Academic; FS101109
7B49 FE07; FSung-Academic; FS10110A
7B49 FE08; FSung-Academic; FS10110B
