601D FE00; FSung-Academic; FS0F1530
601D FE01; FSung-Academic; FS0FC588
601D FE02; FSung-Academic; FS0FC58B
601D FE03; FSung-Academic; FS0FC58C
601D FE04; FSung-Academic; FS0FC5E4
601D FE05; FSung-Academic; FS0FCB55
601D FE06; FSung-Academic; FS0FFE31
601D FE07; FSung-Academic; FS0FFE32
601D FE08; FSung-Academic; FS0FFE34
601D FE09; FSung-Academic; FS0FFE35
601D FE0A; FSung-Academic; FS0FFE36
601D FE0B; FSung-Academic; FS0FFE37
