5BC2 FE00; FSung-Academic; FS0F4865
5BC2 FE01; FSung-Academic; FS0F48BD
5BC2 FE02; FSung-Academic; FS0F4958
5BC2 FE03; FSung-Academic; FS0F52CC
5BC2 FE04; FSung-Academic; FS0F6B21
5BC2 FE05; FSung-Academic; FS0F6B22
5BC2 FE06; FSung-Academic; FS0F6B26
5BC2 FE07; FSung-Academic; FS0F6B27
5BC2 FE08; FSung-Academic; FS0FD0DA
5BC2 FE09; FSung-Academic; FS0FD0E6
5BC2 FE0A; FSung-Academic; FS1039DF
