70BA FE00; FSung-Academic; FS0F1596
70BA FE01; FSung-Academic; FS0F6AA0
70BA FE02; FSung-Academic; FS0FC336
70BA FE03; FSung-Academic; FS0FC346
70BA FE04; FSung-Academic; FS0FC363
70BA FE05; FSung-Academic; FS100988
70BA FE06; FSung-Academic; FS100989
70BA FE07; FSung-Academic; FS10098A
70BA FE08; FSung-Academic; FS10098C
70BA FE09; FSung-Academic; FS10098D
