822C FE00; FSung-Academic; FS0FA439 # Term: FS0FA439
822C FE01; FSung-Academic; FS1016C7 # Term: FS1016C7
822C FE02; FSung-Academic; FS1016C8 # Term: FS1016C8
822C FE03; FSung-Academic; FS1016C9 # Term: FS1016C9
822C FE04; FSung-Academic; FS1016CA # Term: FS1016CA
822C FE05; FSung-Academic; FS1016CB # Term: FS1016CB
822C FE06; FSung-Academic; FS1016CC # Term: FS1016CC
822C FE07; FSung-Academic; FS1016CD # Term: FS1016CD
822C FE08; FSung-Academic; FS1016CE # Term: FS1016CE
