6028 FE00; FSung-Academic; FS0F1EB2
6028 FE01; FSung-Academic; FS0F1F42
6028 FE02; FSung-Academic; FS0FC592
6028 FE03; FSung-Academic; FS0FC59B
6028 FE04; FSung-Academic; FS0FC5AA
6028 FE05; FSung-Academic; FS0FC5CD
6028 FE06; FSung-Academic; FS0FFE3C
6028 FE07; FSung-Academic; FS0FFE3D
6028 FE08; FSung-Academic; FS0FFE3E
6028 FE09; FSung-Academic; FS0FFE3F
6028 FE0A; FSung-Academic; FS0FFE40
6028 FE0B; FSung-Academic; FS0FFE41
6028 FE0C; FSung-Academic; FS0FFE42
