69F3 FE00; FSung-Academic; FS0F0927
69F3 FE01; FSung-Academic; FS0F5CC9
69F3 FE02; FSung-Academic; FS0FB297
69F3 FE03; FSung-Academic; FS1005F4
69F3 FE04; FSung-Academic; FS1005F5
69F3 FE05; FSung-Academic; FS1005F6
69F3 FE06; FSung-Academic; FS1005F7
69F3 FE07; FSung-Academic; FS1005F8
69F3 FE08; FSung-Academic; FS1005F9
69F3 FE09; FSung-Academic; FS1005FA
69F3 FE0A; FSung-Academic; FS103A34
