8E64 FE00; FSung-Academic; FS0F38A6
8E64 FE01; FSung-Academic; FS0F38D5
8E64 FE02; FSung-Academic; FS0F3944
8E64 FE03; FSung-Academic; FS0F395E
8E64 FE04; FSung-Academic; FS0F397C
8E64 FE05; FSung-Academic; FS0F397D
8E64 FE06; FSung-Academic; FS0FE0BE
8E64 FE07; FSung-Academic; FS0FE0DB
8E64 FE08; FSung-Academic; FS101ED2
8E64 FE09; FSung-Academic; FS101ED3
8E64 FE0A; FSung-Academic; FS101ED4
8E64 FE0B; FSung-Academic; FS101ED5
8E64 FE0C; FSung-Academic; FS101ED6
