64DA FE00; FSung-Academic; FS0F2FD4 # Term: FS0F2FD4
64DA FE01; FSung-Academic; FS1001B7 # Term: FS1001B7
64DA FE02; FSung-Academic; FS1001B8 # Term: FS1001B8
64DA FE03; FSung-Academic; FS1001B9 # Term: FS1001B9
64DA FE04; FSung-Academic; FS1001BA # Term: FS1001BA
64DA FE05; FSung-Academic; FS1001BB # Term: FS1001BB
64DA FE06; FSung-Academic; FS1001BC # Term: FS1001BC
64DA FE07; FSung-Academic; FS1001BD # Term: FS1001BD
64DA FE08; FSung-Academic; FS1001BE # Term: FS1001BE
