58DF FE00; FSung-Academic; FS0F2DBE # Term: FS0F2DBE
58DF FE01; FSung-Academic; FS0F2DEF # Term: FS0F2DEF
58DF FE02; FSung-Academic; FS0F2DFD # Term: FS0F2DFD
58DF FE03; FSung-Academic; FS0F3573 # Term: FS0F3573
58DF FE04; FSung-Academic; FS0F606E # Term: FS0F606E
58DF FE05; FSung-Academic; FS0F606F # Term: FS0F606F
58DF FE06; FSung-Academic; FS0F6070 # Term: FS0F6070
58DF FE07; FSung-Academic; FS0F6071 # Term: FS0F6071
58DF FE08; FSung-Academic; FS0FD06E # Term: FS0FD06E
