897F FE00; FSung-Academic; FS0F0C82 # Term: FS0F0C82
897F FE01; FSung-Academic; FS0F1292 # Term: FS0F1292
897F FE02; FSung-Academic; FS0F1960 # Term: FS0F1960
897F FE03; FSung-Academic; FS0F4E0D # Term: FS0F4E0D
897F FE04; FSung-Academic; FS101B94 # Term: FS101B94
897F FE05; FSung-Academic; FS101B95 # Term: FS101B95
897F FE06; FSung-Academic; FS101B96 # Term: FS101B96
897F FE07; FSung-Academic; FS101B97 # Term: FS101B97
897F FE08; FSung-Academic; FS101B98 # Term: FS101B98
