9B42 FE00; FSung-Academic; FS0F2AC2 # Term: FS0F2AC2
9B42 FE01; FSung-Academic; FS102712 # Term: FS102712
9B42 FE02; FSung-Academic; FS102713 # Term: FS102713
9B42 FE03; FSung-Academic; FS102714 # Term: FS102714
9B42 FE04; FSung-Academic; FS102715 # Term: FS102715
9B42 FE05; FSung-Academic; FS102716 # Term: FS102716
9B42 FE06; FSung-Academic; FS102717 # Term: FS102717
9B42 FE07; FSung-Academic; FS102718 # Term: FS102718
9B42 FE08; FSung-Academic; FS102719 # Term: FS102719
