8AF8 FE00; FSung-Academic; FS0F3B87 # Term: FS0F3B87
8AF8 FE01; FSung-Academic; FS0F3C16 # Term: FS0F3C16
8AF8 FE02; FSung-Academic; FS0F3FD6 # Term: FS0F3FD6
8AF8 FE03; FSung-Academic; FS0F3FDC # Term: FS0F3FDC
8AF8 FE04; FSung-Academic; FS0F3FE1 # Term: FS0F3FE1
8AF8 FE05; FSung-Academic; FS0F7FBA # Term: FS0F7FBA
8AF8 FE06; FSung-Academic; FS101C74 # Term: FS101C74
8AF8 FE07; FSung-Academic; FS101C75 # Term: FS101C75
8AF8 FE08; FSung-Academic; FS101C76 # Term: FS101C76
