617C FE00; FSung-Academic; FS0F0600
617C FE01; FSung-Academic; FS0FB597
617C FE02; FSung-Academic; FS0FB5B5
617C FE03; FSung-Academic; FS0FB5BA
617C FE04; FSung-Academic; FS0FB5BC
617C FE05; FSung-Academic; FS0FFF3A
617C FE06; FSung-Academic; FS0FFF3B
617C FE07; FSung-Academic; FS0FFF3C
617C FE08; FSung-Academic; FS0FFF3D
