5584 FE00; FSung-Academic; FS0F3130
5584 FE01; FSung-Academic; FS0F3133
5584 FE02; FSung-Academic; FS0F3720
5584 FE03; FSung-Academic; FS1013A6
5584 FE04; FSung-Academic; FS1013A7
5584 FE05; FSung-Academic; FS1013A8
5584 FE06; FSung-Academic; FS1013A9
5584 FE07; FSung-Academic; FS1013AA
5584 FE08; FSung-Academic; FS1013AB
5584 FE09; FSung-Academic; FS1013AC
5584 FE0A; FSung-Academic; FS1013AD
5584 FE0B; FSung-Academic; FS1013AE
5584 FE0C; FSung-Academic; FS1013AF
