6AF1 FE00; FSung-Academic; FS0F339D
6AF1 FE01; FSung-Academic; FS0FB317
6AF1 FE02; FSung-Academic; FS102E2B
6AF1 FE03; FSung-Academic; FS102E2C
6AF1 FE04; FSung-Academic; FS102E2D
6AF1 FE05; FSung-Academic; FS102E2E
6AF1 FE06; FSung-Academic; FS102E2F
6AF1 FE07; FSung-Academic; FS102E30
6AF1 FE08; FSung-Academic; FS102E31
6AF1 FE09; FSung-Academic; FS102E32
