4E0D FE00; FSung-Academic; FS0F6717
4E0D FE01; FSung-Academic; FS0F6718
4E0D FE02; FSung-Academic; FS0F6719
4E0D FE03; FSung-Academic; FS0F671A
4E0D FE04; FSung-Academic; FS0F671B
4E0D FE05; FSung-Academic; FS0F671C
4E0D FE06; FSung-Academic; FS0F671D
4E0D FE07; FSung-Academic; FS0F671E
4E0D FE08; FSung-Academic; FS0F671F
4E0D FE09; FSung-Academic; FS0F6720
4E0D FE0A; FSung-Academic; FS0F6721
4E0D FE0B; FSung-Academic; FS0FFBAC
