5B85 FE00; FSung-Academic; FS0F101D # Term: FS0F101D
5B85 FE01; FSung-Academic; FS0F41C9 # Term: FS0F41C9
5B85 FE02; FSung-Academic; FS0F41D6 # Term: FS0F41D6
5B85 FE03; FSung-Academic; FS0F4842 # Term: FS0F4842
5B85 FE04; FSung-Academic; FS0F484C # Term: FS0F484C
5B85 FE05; FSung-Academic; FS0F6AC1 # Term: FS0F6AC1
5B85 FE06; FSung-Academic; FS0F6AC3 # Term: FS0F6AC3
5B85 FE07; FSung-Academic; FS0F6AC4 # Term: FS0F6AC4
5B85 FE08; FSung-Academic; FS0FD0A6 # Term: FS0FD0A6
