4F4E FE00; FSung-Academic; FS0F5303 # Term: FS0F5303
4F4E FE01; FSung-Academic; FS0F6301 # Term: FS0F6301
4F4E FE02; FSung-Academic; FS0F6885 # Term: FS0F6885
4F4E FE03; FSung-Academic; FS0F6886 # Term: FS0F6886
4F4E FE04; FSung-Academic; FS0F6887 # Term: FS0F6887
4F4E FE05; FSung-Academic; FS0F6888 # Term: FS0F6888
4F4E FE06; FSung-Academic; FS0F6889 # Term: FS0F6889
4F4E FE07; FSung-Academic; FS0F688A # Term: FS0F688A
4F4E FE08; FSung-Academic; FS0FA9DE # Term: FS0FA9DE
