6D41 FE00; FSung-Academic; FS0F66B1
6D41 FE01; FSung-Academic; FS0F66EB
6D41 FE02; FSung-Academic; FS0F6A66
6D41 FE03; FSung-Academic; FS0F6B9F
6D41 FE04; FSung-Academic; FS0F6C55
6D41 FE05; FSung-Academic; FS0F6C56
6D41 FE06; FSung-Academic; FS0F6C57
6D41 FE07; FSung-Academic; FS0F6C58
6D41 FE08; FSung-Academic; FS0F6C59
6D41 FE09; FSung-Academic; FS0F6C82
6D41 FE0A; FSung-Academic; FS1007D8
6D41 FE0B; FSung-Academic; FS1007D9
