56C2 FE00; FSung-Academic; FS0F39D4
56C2 FE01; FSung-Academic; FS0F57A6
56C2 FE02; FSung-Academic; FS0F57A7
56C2 FE03; FSung-Academic; FS0F57A8
56C2 FE04; FSung-Academic; FS0F57A9
56C2 FE05; FSung-Academic; FS0F57AA
56C2 FE06; FSung-Academic; FS0F90C4
56C2 FE07; FSung-Academic; FS0FACA0
56C2 FE08; FSung-Academic; FS0FEA29
