8D99 FE00; FSung-Academic; FS0F3602
8D99 FE01; FSung-Academic; FS0FB6B4
8D99 FE02; FSung-Academic; FS101E65
8D99 FE03; FSung-Academic; FS101E66
8D99 FE04; FSung-Academic; FS101E67
8D99 FE05; FSung-Academic; FS101E68
8D99 FE06; FSung-Academic; FS101E69
8D99 FE07; FSung-Academic; FS101E6A
8D99 FE08; FSung-Academic; FS101E6B
