8A93 FE00; FSung-Academic; FS0F08B8
8A93 FE01; FSung-Academic; FS0F3C91
8A93 FE02; FSung-Academic; FS0F5181
8A93 FE03; FSung-Academic; FS0FBCE6
8A93 FE04; FSung-Academic; FS0FBD17
8A93 FE05; FSung-Academic; FS0FF0D3
8A93 FE06; FSung-Academic; FS0FF185
8A93 FE07; FSung-Academic; FS101C4D
8A93 FE08; FSung-Academic; FS101C4E
