7B11 FE00; FSung-Academic; FS0F36BC
7B11 FE01; FSung-Academic; FS0F371A
7B11 FE02; FSung-Academic; FS0F371E
7B11 FE03; FSung-Academic; FS0F386E
7B11 FE04; FSung-Academic; FS1010F8
7B11 FE05; FSung-Academic; FS1010F9
7B11 FE06; FSung-Academic; FS1010FA
7B11 FE07; FSung-Academic; FS1010FB
7B11 FE08; FSung-Academic; FS1010FC
7B11 FE09; FSung-Academic; FS1010FD
7B11 FE0A; FSung-Academic; FS1010FE
7B11 FE0B; FSung-Academic; FS1010FF
7B11 FE0C; FSung-Academic; FS101100
