54F2 FE00; FSung-Academic; FS0F2F09
54F2 FE01; FSung-Academic; FS0F2F0A
54F2 FE02; FSung-Academic; FS0F2F5D
54F2 FE03; FSung-Academic; FS0F2F5E
54F2 FE04; FSung-Academic; FS0F5674
54F2 FE05; FSung-Academic; FS0F5675
54F2 FE06; FSung-Academic; FS0F5676
54F2 FE07; FSung-Academic; FS0F5677
54F2 FE08; FSung-Academic; FS0F5678
54F2 FE09; FSung-Academic; FS0FA064
54F2 FE0A; FSung-Academic; FS0FA2AC
54F2 FE0B; FSung-Academic; FS0FC628
