9112 FE00; FSung-Academic; FS0F278A
9112 FE01; FSung-Academic; FS0F278D
9112 FE02; FSung-Academic; FS0F27AF
9112 FE03; FSung-Academic; FS0F27D2
9112 FE04; FSung-Academic; FS0F4BE7
9112 FE05; FSung-Academic; FS0F4C18
9112 FE06; FSung-Academic; FS0FD389
9112 FE07; FSung-Academic; FS102144
9112 FE08; FSung-Academic; FS102145
9112 FE09; FSung-Academic; FS102146
9112 FE0A; FSung-Academic; FS102147
