8DA3 FE00; FSung-Academic; FS0F2D5E # Term: FS0F2D5E
8DA3 FE01; FSung-Academic; FS0FB6B5 # Term: FS0FB6B5
8DA3 FE02; FSung-Academic; FS0FDD92 # Term: FS0FDD92
8DA3 FE03; FSung-Academic; FS101E6D # Term: FS101E6D
8DA3 FE04; FSung-Academic; FS101E6E # Term: FS101E6E
8DA3 FE05; FSung-Academic; FS101E6F # Term: FS101E6F
8DA3 FE06; FSung-Academic; FS101E70 # Term: FS101E70
8DA3 FE07; FSung-Academic; FS101E71 # Term: FS101E71
8DA3 FE08; FSung-Academic; FS101E72 # Term: FS101E72
