5BF0 FE00; FSung-Academic; FS0F2E9C
5BF0 FE01; FSung-Academic; FS0F496B
5BF0 FE02; FSung-Academic; FS0F49AA
5BF0 FE03; FSung-Academic; FS0F49D0
5BF0 FE04; FSung-Academic; FS0F4A04
5BF0 FE05; FSung-Academic; FS0F76BB
5BF0 FE06; FSung-Academic; FS0FD15A
5BF0 FE07; FSung-Academic; FS0FD160
5BF0 FE08; FSung-Academic; FS102B6A
5BF0 FE09; FSung-Academic; FS102B6B
