68D7 FE00; FSung-Academic; FS0F053F # Term: FS0F053F
68D7 FE01; FSung-Academic; FS0FA6D9 # Term: FS0FA6D9
68D7 FE02; FSung-Academic; FS100558 # Term: FS100558
68D7 FE03; FSung-Academic; FS100559 # Term: FS100559
68D7 FE04; FSung-Academic; FS10055A # Term: FS10055A
68D7 FE05; FSung-Academic; FS10055B # Term: FS10055B
68D7 FE06; FSung-Academic; FS10055C # Term: FS10055C
68D7 FE07; FSung-Academic; FS10055D # Term: FS10055D
68D7 FE08; FSung-Academic; FS10055E # Term: FS10055E
