8C94 FE00; FSung-Academic; FS0F405D # Term: FS0F405D
8C94 FE01; FSung-Academic; FS103646 # Term: FS103646
8C94 FE02; FSung-Academic; FS103647 # Term: FS103647
8C94 FE03; FSung-Academic; FS103648 # Term: FS103648
8C94 FE04; FSung-Academic; FS103649 # Term: FS103649
8C94 FE05; FSung-Academic; FS10364A # Term: FS10364A
8C94 FE06; FSung-Academic; FS10364B # Term: FS10364B
8C94 FE07; FSung-Academic; FS10364C # Term: FS10364C
8C94 FE08; FSung-Academic; FS10364D # Term: FS10364D
