8661 FE00; FSung-Academic; FS0FD4C3
8661 FE01; FSung-Academic; FS0FD749
8661 FE02; FSung-Academic; FS0FF55A
8661 FE03; FSung-Academic; FS0FF8D3
8661 FE04; FSung-Academic; FS10347D
8661 FE05; FSung-Academic; FS10347E
8661 FE06; FSung-Academic; FS10347F
8661 FE07; FSung-Academic; FS103480
8661 FE08; FSung-Academic; FS103481
