633D FE00; FSung-Academic; FS0F581D
633D FE01; FSung-Academic; FS0FF0B0
633D FE02; FSung-Academic; FS0FF0DA
633D FE03; FSung-Academic; FS0FF0FC
633D FE04; FSung-Academic; FS0FFDA8
633D FE05; FSung-Academic; FS1000C5
633D FE06; FSung-Academic; FS1000C6
633D FE07; FSung-Academic; FS1000C7
633D FE08; FSung-Academic; FS1000C8
