6AA3 FE00; FSung-Academic; FS0F0773 # Term: FS0F0773
6AA3 FE01; FSung-Academic; FS0FB224 # Term: FS0FB224
6AA3 FE02; FSung-Academic; FS0FB2B8 # Term: FS0FB2B8
6AA3 FE03; FSung-Academic; FS0FB2C5 # Term: FS0FB2C5
6AA3 FE04; FSung-Academic; FS0FC6F5 # Term: FS0FC6F5
6AA3 FE05; FSung-Academic; FS0FF172 # Term: FS0FF172
6AA3 FE06; FSung-Academic; FS102E0B # Term: FS102E0B
6AA3 FE07; FSung-Academic; FS102E0C # Term: FS102E0C
6AA3 FE08; FSung-Academic; FS102E0D # Term: FS102E0D
