6234 FE00; FSung-Academic; FS0FB58E # Term: FS0FB58E
6234 FE01; FSung-Academic; FS0FB5A5 # Term: FS0FB5A5
6234 FE02; FSung-Academic; FS10002F # Term: FS10002F
6234 FE03; FSung-Academic; FS100030 # Term: FS100030
6234 FE04; FSung-Academic; FS100031 # Term: FS100031
6234 FE05; FSung-Academic; FS100032 # Term: FS100032
6234 FE06; FSung-Academic; FS100033 # Term: FS100033
6234 FE07; FSung-Academic; FS100034 # Term: FS100034
6234 FE08; FSung-Academic; FS100035 # Term: FS100035
