8A95 FE00; FSung-Academic; FS0F0B84
8A95 FE01; FSung-Academic; FS0F4B11
8A95 FE02; FSung-Academic; FS0FE306
8A95 FE03; FSung-Academic; FS101C68
8A95 FE04; FSung-Academic; FS101C69
8A95 FE05; FSung-Academic; FS101C6A
8A95 FE06; FSung-Academic; FS101C6B
8A95 FE07; FSung-Academic; FS101C6C
8A95 FE08; FSung-Academic; FS101C6D
8A95 FE09; FSung-Academic; FS101C6E
8A95 FE0A; FSung-Academic; FS101C6F
8A95 FE0B; FSung-Academic; FS101C70
8A95 FE0C; FSung-Academic; FS101C71
