82BB FE00; FSung-Academic; FS0F2091
82BB FE01; FSung-Academic; FS0F2099
82BB FE02; FSung-Academic; FS0F3259
82BB FE03; FSung-Academic; FS0FEF69
82BB FE04; FSung-Academic; FS101710
82BB FE05; FSung-Academic; FS101711
82BB FE06; FSung-Academic; FS101712
82BB FE07; FSung-Academic; FS101713
82BB FE08; FSung-Academic; FS101714
