8F9F FE00; FSung-Academic; FS0FE4BB # Term: FS0FE4BB
8F9F FE01; FSung-Academic; FS0FFB9A # Term: FS0FFB9A
8F9F FE02; FSung-Academic; FS101F76 # Term: FS101F76
8F9F FE03; FSung-Academic; FS101F77 # Term: FS101F77
8F9F FE04; FSung-Academic; FS101F78 # Term: FS101F78
8F9F FE05; FSung-Academic; FS101F79 # Term: FS101F79
8F9F FE06; FSung-Academic; FS101F7A # Term: FS101F7A
8F9F FE07; FSung-Academic; FS101F7B # Term: FS101F7B
8F9F FE08; FSung-Academic; FS101F7C # Term: FS101F7C
