52F8 FE00; FSung-Academic; FS0F07BF
52F8 FE01; FSung-Academic; FS0F29AD
52F8 FE02; FSung-Academic; FS0F29B2
52F8 FE03; FSung-Academic; FS0F29C9
52F8 FE04; FSung-Academic; FS0F29CB
52F8 FE05; FSung-Academic; FS0F29CF
52F8 FE06; FSung-Academic; FS0F552C
52F8 FE07; FSung-Academic; FS0F552D
52F8 FE08; FSung-Academic; FS0F552E
52F8 FE09; FSung-Academic; FS0F552F
52F8 FE0A; FSung-Academic; FS0F5530
52F8 FE0B; FSung-Academic; FS0F5531
