6167 FE00; FSung-Academic; FS0F0914
6167 FE01; FSung-Academic; FS0FC642
6167 FE02; FSung-Academic; FS0FC646
6167 FE03; FSung-Academic; FS0FC663
6167 FE04; FSung-Academic; FS0FFF1E
6167 FE05; FSung-Academic; FS0FFF1F
6167 FE06; FSung-Academic; FS0FFF20
6167 FE07; FSung-Academic; FS0FFF21
6167 FE08; FSung-Academic; FS0FFF22
